,Temperature,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Maximum Temperature,Wind Speed,City Name
0,68.0,-33.59,26.89,92,ZA,1584216759,88,68.0,1.99,Port Alfred
1,84.2,-21.21,-159.78,37,CK,1584216895,74,84.2,6.93,Avarua
2,57.2,-54.8,-68.3,20,AR,1584216864,50,57.2,9.17,Ushuaia
3,72.09,-28.77,114.6,40,AU,1584216370,88,73.4,10.29,Geraldton
4,31.95,65.7,82.47,100,RU,1584216898,97,31.95,14.45,Krasnosel'kup
5,39.87,35.31,46.99,100,IR,1584216900,84,39.87,2.28,Sanandij
6,64.11,-34.42,19.23,53,ZA,1584216744,87,64.99,13.4,Hermanus
7,56.43,36.41,64.91,100,AF,1584216903,45,56.43,10.18,Dawlatabad
8,48.2,32.69,128.84,75,JP,1584216904,57,48.2,16.11,Fukuechō
9,2.43,66.83,70.83,98,RU,1584216358,89,2.43,16.73,Yar-Sale
10,71.6,-39.81,-73.25,0,CL,1584216432,40,71.6,10.29,Valdivia
11,49.12,-42.78,147.06,75,AU,1584216908,81,53.01,5.82,New Norfolk
12,54.19,43.4,4.98,0,FR,1584216909,45,57.99,11.41,Port-de-Bouc
13,84.15,11.28,-15.83,0,GW,1584216910,62,84.15,21.3,Bubaque
14,84.2,-5.2,-35.46,40,BR,1584216684,70,84.2,10.29,Touros
15,59.67,-2.88,29.25,100,BI,1584216913,93,59.67,2.13,Cibitoke Province
16,4.14,62.46,-114.35,75,CA,1584216764,54,5.0,12.75,Yellowknife
17,66.99,-33.93,18.42,40,ZA,1584216667,77,69.01,16.11,Cape Town
18,75.15,-5.56,-80.82,95,PE,1584216917,86,75.15,16.62,Sechura
19,65.59,-23.53,148.17,0,AU,1584216359,68,66.2,10.29,Emerald
20,86.0,4.93,-52.33,75,GF,1584216474,62,86.0,10.29,Cayenne
21,21.2,68.22,-135.01,90,CA,1584216920,67,21.2,6.93,Aklavik
22,32.0,69.49,88.4,75,RU,1584216921,97,32.0,22.37,Talnakh
23,71.17,19.73,-155.09,90,US,1584216768,88,73.4,6.22,Hilo
24,70.47,4.88,38.08,83,ET,1584216418,62,70.47,2.82,Yabēlo
25,75.2,7.04,134.26,75,PW,1584216925,88,75.2,11.07,Kloulklubed
26,64.0,-22.12,14.28,0,NA,1584216385,92,64.0,4.0,Henties Bay
27,49.39,-42.88,147.33,75,AU,1584216794,81,53.01,5.82,Hobart
28,82.4,-22.97,-42.03,40,BR,1584216800,78,82.4,12.75,Arraial do Cabo
29,53.01,-46.19,168.86,100,NZ,1584216739,85,53.01,3.0,Mataura
30,76.23,-20.41,57.7,75,MU,1584216931,94,77.0,3.36,Mahébourg
31,45.82,40.8,-124.16,90,US,1584216765,75,50.0,8.05,Eureka
32,35.01,67.67,12.69,100,NO,1584216933,96,35.01,23.78,Sørland
33,73.53,25.05,61.74,100,PK,1584216935,64,73.53,6.93,Jiwani
34,26.58,59.7,30.79,20,RU,1584216938,36,28.4,24.61,Nikolskoye
35,83.26,32.35,-85.2,20,US,1584216939,37,86.0,6.93,Russell
36,19.04,61.58,-149.44,1,US,1584216785,56,25.0,2.48,Wasilla
37,76.59,11.21,99.51,99,TH,1584216941,92,76.59,4.34,Bang Saphan
38,15.8,66.04,-17.34,40,IS,1584216312,78,15.8,4.7,Husavik
39,69.8,24.69,46.72,38,SA,1584216698,43,69.8,4.7,Riyadh
40,65.37,-33.65,115.33,98,AU,1584216945,98,66.0,10.11,Busselton
41,24.8,54.52,-128.6,5,CA,1584216737,27,24.8,14.99,Terrace
42,34.48,42.1,-79.24,1,US,1584216947,59,39.99,6.93,Jamestown
43,31.12,46.47,-120.67,90,US,1584216948,55,33.8,11.72,Yakima
44,55.18,32.22,-98.2,90,US,1584216949,93,59.0,9.17,Stephenville
45,57.0,32.67,-17.1,75,PT,1584216950,63,60.8,11.41,Ponta do Sol
46,32.0,50.2,-66.38,75,CA,1584216379,71,32.0,10.29,Sept-Îles
47,83.61,3.07,172.79,100,KI,1584216952,70,83.61,9.13,Butaritari
48,33.8,57.79,-152.41,1,US,1584216954,59,33.8,5.82,Saint Paul Harbor
49,57.43,34.64,-120.46,90,US,1584216709,71,59.0,6.93,Lompoc
50,59.81,-53.15,-70.92,75,CL,1584216956,51,60.8,31.09,Punta Arenas
51,3.2,69.22,-51.1,75,GL,1584216285,77,3.2,11.41,Ilulissat
52,67.59,27.98,-114.06,0,MX,1584216492,56,67.59,11.63,Guerrero Negro
53,82.4,-21.2,-175.2,75,TO,1584216960,83,82.4,13.87,Vaini
